date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:22:26	148208/148208	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:22:26%20GMT	http://www.corpoidealsuplementos.com.br/roxylean-60-caps-bpi-sports-7549-p240222	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/roxylean-60-caps-bpi-sports-7549-p240222.html	(from http://www.corpoidealsuplementos.com.br/)
10:22:26	4420/4420	---M--	200	added ('OK')	image/jpeg	etag:%224c1512d584f4cd4769c6d9332a15c7a8%22	http://ci08.ezcdn.com.br/Custom/Content/Products/24/02/240222_Small2.jpg	C:/Users/QATEmployee/Desktop/suple/suple/ci08.ezcdn.com.br/Custom/Content/Products/24/02/240222_Small2.jpg	(from http://www.corpoidealsuplementos.com.br/)
10:22:27	168117/168117	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:22:27%20GMT	http://www.corpoidealsuplementos.com.br/oxyelite-pro-60-caps-usp-labs-1651-p39247	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/oxyelite-pro-60-caps-usp-labs-1651-p39247.html	(from http://www.corpoidealsuplementos.com.br/)
10:22:28	5432/5432	---M--	200	added ('OK')	image/jpeg	etag:%22ce25e4c5fee80f2e470d7df346d3c0cd%22	http://ci08.ezcdn.com.br/Custom/Content/Products/39/24/39247_Small3.jpg	C:/Users/QATEmployee/Desktop/suple/suple/ci08.ezcdn.com.br/Custom/Content/Products/39/24/39247_Small3.jpg	(from http://www.corpoidealsuplementos.com.br/)
10:22:29	196862/196862	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:22:29%20GMT	http://www.corpoidealsuplementos.com.br/100-whey-900g-infinity-nutrition-1745-p39402	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/100-whey-900g-infinity-nutrition-1745-p39402.html	(from http://www.corpoidealsuplementos.com.br/)
10:22:31	5614/5614	---M--	200	added ('OK')	image/jpeg	etag:%22f4536306c16585f7a09f47b1f9d2a956%22	http://ci08.ezcdn.com.br/Custom/Content/Products/00/02/3918_Small1.jpg	C:/Users/QATEmployee/Desktop/suple/suple/ci08.ezcdn.com.br/Custom/Content/Products/00/02/3918_Small1.jpg	(from http://www.corpoidealsuplementos.com.br/)
10:22:33	169681/169681	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:22:33%20GMT	http://www.corpoidealsuplementos.com.br/1-m-r-vortex-150g-bpi-sports-7539-p240211	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/1-m-r-vortex-150g-bpi-sports-7539-p240211.html	(from http://www.corpoidealsuplementos.com.br/)
10:22:34	8060/8060	---M--	200	added ('OK')	image/jpeg	etag:%228cdce322470f63c62ed1ab473bb3c9bd%22	http://ci07.ezcdn.com.br/Custom/Content/Products/24/02/240211_Small3.jpg	C:/Users/QATEmployee/Desktop/suple/suple/ci07.ezcdn.com.br/Custom/Content/Products/24/02/240211_Small3.jpg	(from http://www.corpoidealsuplementos.com.br/)
10:22:43	166745/166745	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:22:43%20GMT	http://www.corpoidealsuplementos.com.br/hemo-rage-black-ultra-concentrado-138g-nutrex-1298-p38625	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/hemo-rage-black-ultra-concentrado-138g-nutrex-1298-p38625.html	(from http://www.corpoidealsuplementos.com.br/)
10:22:45	8873/8873	---M--	200	added ('OK')	image/jpeg	etag:%221296e67ce140ed889262e2044088a89c%22	http://ci07.ezcdn.com.br/Custom/Content/Products/38/62/38625_Small2.jpg	C:/Users/QATEmployee/Desktop/suple/suple/ci07.ezcdn.com.br/Custom/Content/Products/38/62/38625_Small2.jpg	(from http://www.corpoidealsuplementos.com.br/)
